grade,unit_number,unit_title,vocabulary_count
1,1,"In the school playground",6
1,2,"In the dining room",6
1,3,"At the street market",6
1,4,"In the bedroom",6
1,5,"At the fish and chip shop",6
1,6,"In the classroom",6
1,7,"In the garden",6
1,8,"In the park",6
1,9,"In the shop",6
1,10,"At the zoo",6
1,11,"At the bus stop",6
1,12,"At the lake",6
1,13,"In the school canteen",6
1,14,"In the toy shop",6
1,15,"At the football match",6
1,16,"At home",6
2,1,"At my birthday party",6
2,2,"In the backyard",6
2,3,"At the seaside",6
2,4,"In the countryside",6
2,5,"In the classroom",6
2,6,"On the farm",6
2,7,"In the kitchen",6
2,8,"In the village",6
2,9,"In the grocery store",6
2,10,"At the zoo",6
2,11,"In the playground",6
2,12,"At the cafe",6
2,13,"At the maths class",6
2,14,"At home",6
2,15,"In the clothes shop",6
2,16,"At the campsite",6
3,1,"Hello",6
3,2,"Our names",6
3,3,"Our friends",6
3,4,"Our bodies",6
3,5,"My hobbies",6
3,6,"Our school",6
3,7,"Classroom instructions",6
3,8,"My school things",6
3,9,"Colours",6
3,10,"Break time activities",6
3,11,"My family",6
3,12,"Jobs",6
3,13,"My house",6
3,14,"My bedroom",6
3,15,"At the dining table",6
3,16,"My pets",6
3,17,"Our toys",6
3,18,"Playing and doing",6
3,19,"Outdoor activities",6
3,20,"At the zoo",6
4,1,"My friends",6
4,2,"Time and daily routines",6
4,3,"My week",6
4,4,"My birthday party",6
4,5,"Things we can do",6
4,6,"Our school facilities",6
4,7,"Our timetables",6
4,8,"My favourite subjects",6
4,9,"Our sports day",6
4,10,"Our summer holiday",6
4,11,"My home",6
4,12,"Jobs",6
4,13,"Appearance",6
4,14,"Daily activities",6
4,15,"My family's weekends",6
4,16,"Weather",6
4,17,"In the city",6
4,18,"At the shopping centre",6
4,19,"The animal world",6
4,20,"At summer camp",6
5,1,"All about me!",6
5,2,"Our homes",6
5,3,"My foreign friends",6
5,4,"Our free-time activities",6
5,5,"My future job",6
5,6,"Our school rooms",6
5,7,"Our favourite school activities",6
5,8,"In our classroom",6
5,9,"Our outdoor activities",6
5,10,"Our school trip",6
5,11,"Family time",6
5,12,"Our Tet holiday",6
5,13,"Our special days",6
5,14,"Staying healthy",6
5,15,"Our health",6
5,16,"Seasons and the weather",6
5,17,"Stories for children",6
5,18,"Means of transport",6
5,19,"Places of interest",6
5,20,"Our summer holidays",6
6,1,"My New School",6
6,2,"My House",6
6,3,"My Friends",6
6,4,"My Neighbourhood",6
6,5,"Natural Wonders of the World",6
6,6,"Our Tet Holiday",6
6,7,"Television",6
6,8,"Sports and Games",6
6,9,"Cities of the World",6
6,10,"Our Houses in the Future",6
6,11,"Our Greener World",6
6,12,"Robots",6
7,1,"Hobbies",6
7,2,"Healthy Living",6
7,3,"Community Service",6
7,4,"Music and Arts",6
7,5,"Food and Drink",6
7,6,"A Visit to a School",6
7,7,"Traffic",6
7,8,"Films",6
7,9,"Festivals around the World",6
7,10,"Energy Sources",6
7,11,"Travelling in the Future",6
7,12,"English-speaking Countries",6
8,1,"Leisure Time",6
8,2,"Life in the Countryside",6
8,3,"Teenagers",6
8,4,"Ethnic Groups of Viet Nam",6
8,5,"Our Customs and Traditions",6
8,6,"Lifestyles",6
8,7,"Environmental Protection",6
8,8,"Shopping",6
8,9,"Natural Disasters",6
8,10,"Communication in the Future",6
8,11,"Science and Technology",6
8,12,"Life on Other Planets",6
9,1,"Local Community",6
9,2,"City Life",6
9,3,"Healthy Living for Teens",6
9,4,"Remembering the Past",6
9,5,"Our Experiences",6
9,6,"Vietnamese Lifestyle: Then and Now",6
9,7,"Natural Wonders of the World",6
9,8,"Tourism",6
9,9,"World Englishes",6
9,10,"Planet Earth",6
9,11,"Electronic Devices",6
9,12,"Career Choices",6
